utterance,speaker,wall_ms,stage_preparation_ms,stage_ctc_encoding_ms,stage_ctc_viterbi_ms,stage_phone_scoring_ms,stage_total_ms
000030012,0003,61.61187501857057,0.162,57.024,3.602,0.664,61.476
000030024,0003,52.52395800198428,0.201,49.121,1.821,0.416,51.588
000030040,0003,51.18475001654588,0.148,48.377,1.791,0.455,50.791
000030047,0003,52.45079199085012,0.2,49.297,2.003,0.458,51.984
000030049,0003,50.967082992428914,0.16,47.711,1.58,0.436,49.913
000030051,0003,56.92291600280441,0.166,53.385,2.492,0.473,56.543
000030054,0003,53.09729199507274,0.249,50.302,1.766,0.36,52.701
000030059,0003,65.86033399798907,0.16,61.871,2.91,0.473,65.438
000030067,0003,65.6853330146987,0.159,61.351,3.295,0.534,65.36
000030069,0003,52.47937500826083,0.149,49.185,2.347,0.434,52.136
000030079,0003,66.5449170046486,0.198,61.203,3.94,0.686,66.049
000030080,0003,53.68816698319279,0.15,50.126,2.513,0.532,53.344
000030097,0003,44.058708008378744,0.131,41.329,1.769,0.418,43.674
000030101,0003,54.743415996199474,0.134,51.346,2.395,0.48,54.38
000030116,0003,74.21866699587554,0.176,69.004,3.864,0.715,73.784
000030119,0003,83.15762499114498,0.18,76.195,4.756,1.548,82.709
000030145,0003,57.34837500494905,0.159,53.877,2.26,0.64,56.967
000030153,0003,45.27795800822787,0.18,42.749,1.299,0.367,44.619
000030154,0003,53.9466249756515,0.157,50.978,2.002,0.462,53.624
000030175,0003,37.44949999963865,0.137,36.362,0.566,0.214,37.307
000240010,0024,42.934584023896605,0.139,40.707,1.534,0.39,42.797
000240031,0024,63.28612499055453,0.2,57.623,4.473,0.771,63.092
000240060,0024,54.903041978832334,0.149,49.986,3.661,0.674,54.494
000240071,0024,85.29550000093877,0.177,75.969,7.536,0.992,84.699
000240073,0024,98.69100002106279,0.231,85.648,11.079,1.216,98.197
000240099,0024,72.68058299086988,0.279,63.93,6.29,0.92,71.443
000240115,0024,50.67833300563507,0.18,47.506,2.103,0.445,50.253
000240116,0024,55.338333011604846,0.151,50.195,3.764,0.87,55.007
000240151,0024,59.21483397833072,0.16,54.236,3.682,0.681,58.785
000240152,0024,54.459665989270434,0.164,49.26,3.834,0.694,53.973
000240248,0024,52.28387500392273,0.191,47.494,3.004,0.63,51.34
000240284,0024,53.55541600147262,0.155,48.8,3.47,0.713,53.163
000240287,0024,42.3570419952739,0.141,39.941,1.473,0.389,41.968
000240289,0024,60.31583299045451,0.17,54.539,4.485,0.683,59.899
000240320,0024,66.05475000105798,0.207,58.449,5.557,0.861,65.094
000240323,0024,70.22700001834892,0.19,63.33,4.811,0.644,68.994
000240324,0024,50.676167011260986,0.186,46.301,2.741,0.55,49.795
000240329,0024,54.30712501402013,0.165,49.628,3.431,0.64,53.882
000240350,0024,52.76550000417046,0.188,47.727,3.298,0.704,51.943
000240352,0024,54.911374987568706,0.189,49.927,3.328,0.565,54.031
000440005,0044,52.01483401469886,0.164,48.044,1.912,0.319,50.458
000440021,0044,74.22637499985285,0.181,67.414,5.474,0.642,73.731
000440032,0044,63.08879199787043,0.207,59.023,2.521,0.407,62.18
000440035,0044,62.907707993872464,0.184,58.71,2.615,0.427,61.955
000440043,0044,71.11116600572132,0.196,66.719,3.293,0.419,70.646
000440045,0044,57.73116700584069,0.189,54.795,1.512,0.257,56.78
000440049,0044,88.3406670182012,0.225,83.213,3.849,0.438,87.746
000440062,0044,86.73187499516644,0.237,80.992,4.521,0.454,86.23
000440082,0044,71.25966702005826,0.223,66.433,3.13,0.406,70.215
000440089,0044,64.94733301224187,0.173,61.198,2.528,0.501,64.423
000440090,0044,58.57695799204521,0.152,55.651,1.574,0.338,57.734
000440099,0044,121.81283300742507,0.236,111.62,8.27,0.759,120.909
000440104,0044,91.83758398285136,0.209,85.448,4.686,0.55,90.915
000440126,0044,73.96508299279958,0.24,68.605,3.658,0.435,72.97
000440132,0044,65.17012498807162,0.222,60.635,2.871,0.447,64.198
000440145,0044,82.35987499938346,0.196,76.079,5.053,0.555,81.907
000440147,0044,75.25270801852457,0.223,68.626,4.778,0.556,74.206
000440163,0044,71.66333397617564,0.201,65.752,3.188,0.425,69.584
000440173,0044,45.27729100664146,0.182,42.308,1.483,0.337,44.332
