phone_index,phone,human_grade,ctc_viterbi_lpp,mfa_lpp,ctc_viterbi_start,ctc_viterbi_end,mfa_start,mfa_end,split,utterance,speaker
0,W,2.0,-0.001162984874099493,-7.673315048217773,0.645,0.6853125,0.58,0.71,train,000010011,0001
1,IY,2.0,-0.005602143704891205,-10.280034065246582,0.80625,0.8465625,0.71,0.91,train,000010011,0001
2,K,2.0,-0.0015415833331644535,-10.528518676757812,1.0078125,1.048125,0.91,1.12,train,000010011,0001
3,AA,1.8,-0.8539870381355286,-12.423633575439453,1.209375,1.22953125,1.12,1.17,train,000010011,0001
4,L,1.8,-5.444200038909912,-12.39059066772461,1.22953125,1.2496875,1.17,1.2,train,000010011,0001
5,IH,2.0,-0.003379588248208165,-8.39934253692627,1.370625,1.39078125,1.2,1.4,train,000010011,0001
6,T,2.0,-0.014538425952196121,-11.17285442352295,1.45125,1.47140625,1.4,1.64,train,000010011,0001
7,B,2.0,-0.0031386183109134436,-14.114246368408203,1.6729687500000001,1.693125,1.64,1.68,train,000010011,0001
8,EH,1.0,-0.006173588335514069,-8.977676391601562,1.8140625000000001,1.83421875,1.68,1.86,train,000010011,0001
9,R,1.0,-10.77806568145752,-10.673927307128906,1.8946875,1.91484375,1.86,2.07,train,000010011,0001
0,Z,2.0,-0.005094641353935003,-5.8784708976745605,0.8023391812865498,0.8223976608187135,0.79,0.85,train,000010035,0001
1,IH,1.4,-4.755023002624512,-7.461275577545166,0.9628070175438597,0.9828654970760234,0.85,0.94,train,000010035,0001
2,R,1.4,-0.3788142800331116,-7.4179816246032715,1.0630994152046784,1.103216374269006,0.94,1.19,train,000010035,0001
3,OW,2.0,-7.302252769470215,-8.052533149719238,1.2035087719298247,1.2235672514619884,1.19,1.27,train,000010035,0001
4,TH,1.2,-9.951218605041504,-11.384007453918457,1.3038011695906433,1.3238596491228072,1.27,1.45,train,000010035,0001
5,R,2.0,-3.7386739253997803,-11.921917915344238,1.5244444444444445,1.5445029239766084,1.45,1.5,train,000010035,0001
6,IY,2.0,-8.022409439086914,-9.697019577026367,1.644795321637427,1.6648538011695908,1.5,1.77,train,000010035,0001
7,F,2.0,-0.12658171355724335,-8.14865493774414,1.885497076023392,1.9256140350877193,1.77,1.94,train,000010035,0001
8,AY,2.0,-0.002073348965495825,-10.59380054473877,2.106140350877193,2.1462573099415208,1.94,2.22,train,000010035,0001
9,V,1.8,-7.499699115753174,-10.114082336425781,2.266608187134503,2.2866666666666666,2.22,2.38,train,000010035,0001
10,W,2.0,-0.023635638877749443,-6.127223968505859,2.4671929824561407,2.527368421052632,2.38,2.53,train,000010035,0001
11,AH,2.0,-7.9095234870910645,-12.380901336669922,2.7078947368421056,2.727953216374269,2.53,2.71,train,000010035,0001
12,N,2.0,-3.95076584815979,-8.611356735229492,2.7881286549707602,2.808187134502924,2.71,2.91,train,000010035,0001
0,TH,1.8,-10.364251136779785,-12.568073272705078,0.6419161676646706,0.6619760479041916,0.59,0.83,train,000010053,0001
1,R,2.0,-4.378805637359619,-12.308087348937988,0.902694610778443,0.922754491017964,0.83,0.87,train,000010053,0001
2,IY,2.0,-0.020894763991236687,-10.806270599365234,1.0431137724550898,1.0631736526946107,0.87,1.21,train,000010053,0001
3,T,2.0,-0.0012268644059076905,-10.153228759765625,1.2637724550898204,1.2838323353293413,1.25,1.35,train,000010053,0001
4,UW,1.8,-0.0015716643538326025,-9.37997055053711,1.4643712574850298,1.5044910179640718,1.35,1.6,train,000010053,0001
5,T,2.0,-0.0016387379728257656,-11.672196388244629,1.805389221556886,1.8254491017964072,1.6,1.91,train,000010053,0001
6,UW,1.8,-0.007406254298985004,-9.45609188079834,2.0059880239520957,2.0461077844311375,1.91,2.15,train,000010053,0001
7,S,2.0,-0.0011128248879685998,-7.688137054443359,2.226646706586826,2.2667664670658683,2.18,2.39,train,000010053,0001
8,EH,2.0,-1.0477824211120605,-10.440438270568848,2.467365269461078,2.4874251497005986,2.39,2.49,train,000010053,0001
9,V,2.0,-5.280490875244141,-9.557679176330566,2.527544910179641,2.5476047904191614,2.49,2.56,train,000010053,0001
10,N,2.0,-0.13236835598945618,-9.195260047912598,2.667964071856287,2.7080838323353293,2.63,2.88,train,000010053,0001
0,EH,2.0,-7.302391529083252,-12.031986236572266,0.7442606060606061,0.7643757575757576,0.6,0.78,train,000010063,0001
1,L,2.0,-0.0007244692533276975,-0.0007244692533276975,0.7844909090909091,0.8247212121212122,0.78,0.83,train,000010063,0001
