utterance,speaker,word_index,word,human_stress,human_correct,ctc_viterbi_primary_probability,ctc_viterbi_canonical_location_correct,mfa_primary_probability,mfa_canonical_location_correct
000030012,0003,2,GOING,10.0,1,0.8808,1,0.8808,1
000030024,0003,2,CHINA,10.0,1,0.8808,1,0.8808,1
000030059,0003,2,PHOTO,10.0,1,0.8808,1,0.5987,1
000030069,0003,3,BOXING,10.0,1,0.8808,1,0.8808,1
000030116,0003,1,BILLY,10.0,1,0.4013,0,0.4013,0
000030116,0003,3,INTO,10.0,1,0.4013,0,0.8808,1
000030119,0003,1,TINA,10.0,1,0.8808,1,0.8808,1
000030119,0003,3,INTO,10.0,1,0.4013,0,0.4013,0
000030119,0003,5,WASHROOM,10.0,1,0.8808,1,0.8808,1
000030145,0003,0,BILLY,10.0,1,0.4013,0,0.4013,0
000030175,0003,0,YUMMY,10.0,1,0.8808,1,0.4013,0
000240031,0024,7,LADDER,10.0,1,0.8808,1,0.8808,1
000240071,0024,7,VERY,10.0,1,0.8808,1,0.4013,0
000240073,0024,2,AMERICAN,10.0,1,0.5848,1,0.4096,1
000240073,0024,6,FOLLOWS,10.0,1,0.5987,1,0.8808,1
000240099,0024,3,TALKING,10.0,1,0.8808,1,0.8808,1
000240099,0024,4,ABOUT,10.0,1,0.8808,1,0.8808,1
000240116,0024,0,LOVELY,10.0,1,0.8808,1,0.8808,1
000240116,0024,4,ACQUAINTANCE,10.0,1,0.7041,1,0.4899,1
000240151,0024,0,SUCCESSFUL,10.0,1,0.1386,0,0.6478,1
000240151,0024,4,COLLEGE,10.0,1,0.8808,1,0.8808,1
000240152,0024,3,PRETTY,10.0,1,0.8808,1,0.8808,1
000240284,0024,6,OVER,10.0,1,0.8808,1,0.8808,1
000240289,0024,0,COMPETITION,10.0,1,0.1654,0,0.3828,0
000240289,0024,5,INDUSTRY,5.0,0,0.0933,0,0.0814,0
000240320,0024,2,ANXIOUSLY,10.0,1,0.5231,1,0.5077,1
000240320,0024,7,STARTED,10.0,1,0.8808,1,0.8808,1
000240323,0024,5,UNHAPPY,10.0,1,0.6243,1,0.1625,0
000240324,0024,3,SORRY,10.0,1,0.8808,1,0.4013,0
000240350,0024,6,FRIENDSHIP,10.0,1,0.8808,1,0.8808,1
000440021,0044,0,MANDY,10.0,1,0.8808,1,0.4013,0
000440082,0044,0,LILLY,10.0,1,0.8808,1,0.4013,0
000440089,0044,0,SANDY,10.0,1,0.8808,1,0.8808,1
000440145,0044,0,HANDY,10.0,1,0.8808,1,0.4013,0
000440145,0044,3,BANGKOK,10.0,1,0.5987,1,0.1192,0
000440147,0044,0,LILLY,10.0,1,0.8808,1,0.8808,1
000440173,0044,1,GOING,10.0,1,0.8808,1,0.4013,0
000490017,0049,0,DORA,10.0,1,0.8808,1,0.8808,1
000490097,0049,0,SANDY,10.0,1,0.8808,1,0.8808,1
000490117,0049,2,TALKING,10.0,1,0.8808,1,0.8808,1
000490151,0049,4,EXCITING,10.0,1,0.8065,1,0.8045,1
000920002,0092,2,YELLOW,10.0,1,0.8808,1,0.8808,1
000920074,0092,0,SANDY,10.0,1,0.8808,1,0.8808,1
000920074,0092,2,RUNNING,10.0,1,0.8808,1,0.8808,1
000920129,0092,4,POTATO,10.0,1,0.4746,1,0.7963,1
000920173,0092,2,MANY,10.0,1,0.8808,1,0.8808,1
000930005,0093,0,BILLY,10.0,1,0.8808,1,0.4013,0
000930089,0093,0,DORA,10.0,1,0.8808,1,0.8808,1
000930099,0093,0,JACKIE,10.0,1,0.8808,1,0.8808,1
000930148,0093,0,TINA,10.0,1,0.8808,1,0.8808,1
000930148,0093,4,USUAL,10.0,1,0.7755,1,0.3879,0
000930155,0093,2,ANY,10.0,1,0.4013,0,0.4013,0
000940012,0094,0,LILLY,10.0,1,0.8808,1,0.4013,0
000940012,0094,2,GOING,10.0,1,0.8808,1,0.4013,0
000940012,0094,5,ZEBRA,10.0,1,0.8808,1,0.8808,1
000940015,0094,2,GOING,10.0,1,0.8808,1,0.4013,0
000940068,0094,2,RACING,10.0,1,0.8808,1,0.8808,1
000940074,0094,0,DORA,10.0,1,0.8808,1,0.4013,0
000940074,0094,2,ROWING,10.0,1,0.8808,1,0.8808,1
000940102,0094,0,BILLY,10.0,1,0.4013,0,0.4013,0
000940102,0094,3,RAINCOAT,10.0,1,0.8808,1,0.4013,0
000940122,0094,1,JAYME,10.0,1,0.8808,1,0.8808,1
000940133,0094,0,JAYME,10.0,1,0.8808,1,0.4013,0
000940133,0094,3,EGGPLANT,10.0,1,0.8808,1,0.4013,0
